"Folder","OldName","NewName"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-008","photo_2026-09-24_02-44-59.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-008","photo_2026-09-24_02-45-07.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-008","photo_2026-09-24_02-45-12.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-008","IMG_5172.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-001","photo_2026-09-24_02-26-57.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-001","photo_2026-09-24_02-27-16.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-001","photo_2026-09-24_02-27-21.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-001","IMG_5330.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-002","photo_2026-09-24_02-27-48.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-002","photo_2026-09-24_02-27-57.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-002","photo_2026-09-24_02-28-01.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-002","IMG_2140.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-003","photo_2026-09-24_02-28-20.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-003","photo_2026-09-24_02-28-26.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-003","photo_2026-09-24_02-28-30.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-003","IMG_6955.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-004","photo_2026-09-24_02-35-59.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-004","photo_2026-09-24_02-36-07.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-004","photo_2026-09-24_02-36-12.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-004","IMG_5725.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-005","photo_2026-09-24_02-38-32.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-005","photo_2026-09-24_02-38-40.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-005","photo_2026-09-24_02-38-46.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-005","IMG_9135.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-006","photo_2026-09-24_02-40-41.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-006","photo_2026-09-24_02-40-50.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-006","photo_2026-09-24_02-40-53.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-006","IMG_9691.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-007","photo_2026-09-24_02-42-53.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-007","photo_2026-09-24_02-43-02.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-007","photo_2026-09-24_02-43-05.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-007","IMG_9524.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-009","photo_2026-09-24_02-47-26.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-009","photo_2026-09-24_02-47-33.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-009","photo_2026-09-24_02-47-36.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-009","video_2026-09-24_02-47-39.mp4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-010","photo_2026-09-24_02-48-19.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-010","photo_2026-09-24_02-48-27.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-010","photo_2026-09-24_02-48-29.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shenzhen-model-010","IMG_1912.MP4","profile.mp4"
