"Folder","OldName","NewName"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-001","photo_2026-09-24_03-00-07.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-001","photo_2026-09-24_03-00-17.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-001","photo_2026-09-24_03-00-20.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-001","IMG_8659.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-002","photo_2026-09-24_03-03-10.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-002","photo_2026-09-24_03-03-19.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-002","photo_2026-09-24_03-03-23.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-002","IMG_6578.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-003","photo_2026-09-24_03-03-46.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-003","photo_2026-09-24_03-03-51.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-003","photo_2026-09-24_03-03-56.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-003","IMG_8202.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-004","photo_2026-09-24_03-05-54.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-004","photo_2026-09-24_03-06-02.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-004","photo_2026-09-24_03-06-06.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-004","IMG_4559.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-005","photo_2026-09-24_03-06-57.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-005","photo_2026-09-24_03-07-05.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-005","photo_2026-09-24_03-07-12.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-005","IMG_1839.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-006","photo_2026-09-24_03-08-51.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-006","photo_2026-09-24_03-09-06.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-006","photo_2026-09-24_03-09-10.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-006","video_2026-09-24_03-09-32.mp4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-007","photo_2026-09-24_03-10-52.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-007","photo_2026-09-24_03-11-07.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-007","photo_2026-09-24_03-11-09.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-007","IMG_2635.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-008","photo_2026-09-24_03-12-20.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-008","photo_2026-09-24_03-12-36.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-008","photo_2026-09-24_03-12-41.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-008","IMG_5775.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-009","photo_2026-09-24_03-14-34.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-009","photo_2026-09-24_03-14-41.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-009","photo_2026-09-24_03-14-48.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-009","IMG_5269.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-010","photo_2026-09-24_03-16-26.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-010","photo_2026-09-24_03-16-45.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\guangzhou-model-010","photo_2026-09-24_03-16-50.jpg","03.jpg"
