"Folder","OldName","NewName"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-001","photo_2026-09-24_01-37-36.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-001","photo_2026-09-24_01-37-49.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-001","photo_2026-09-24_01-37-52.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-001","IMG_5866.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-002","photo_2026-09-24_01-38-13.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-002","photo_2026-09-24_01-38-24.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-002","photo_2026-09-24_01-38-37.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-002","IMG_6893.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-003","photo_2026-09-24_01-39-13.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-003","photo_2026-09-24_01-39-41.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-003","photo_2026-09-24_01-39-49.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-004","photo_2026-09-24_01-40-19.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-004","photo_2026-09-24_01-40-34.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-004","photo_2026-09-24_01-40-38.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-004","IMG_3563.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-005","photo_2026-09-24_01-40-56.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-005","photo_2026-09-24_01-41-15.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-005","photo_2026-09-24_01-41-20.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-005","IMG_8738.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-006","photo_2026-09-24_01-41-40.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-006","photo_2026-09-24_01-41-51.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-006","photo_2026-09-24_01-41-53.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-006","IMG_3702.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-007","photo_2026-09-24_01-42-03.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-007","photo_2026-09-24_01-42-15.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-007","photo_2026-09-24_01-42-22.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-007","IMG_8807.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-008","photo_2026-09-24_01-42-54.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-008","photo_2026-09-24_01-43-02.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-008","photo_2026-09-24_01-43-07.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-008","IMG_7706.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-009","photo_2026-09-24_01-43-28.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-009","photo_2026-09-24_01-43-39.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-009","photo_2026-09-24_01-43-41.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-009","IMG_3970.MP4","profile.mp4"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-010","photo_2026-09-24_01-44-47.jpg","01.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-010","photo_2026-09-24_01-44-58.jpg","02.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-010","photo_2026-09-24_01-45-02.jpg","03.jpg"
"C:\Users\86137\Desktop\dingshe-site\photos\shanghai-model-010","IMG_6429.MP4","profile.mp4"
